,Unnamed: 0.35,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,nickname,full_name,age,nationality,current_team,kills,headshot%,deaths,kd_ratio,dmg_per_round,grenade_dmg_per_round,maps_played,rounds_played,kills_per_round,assists_per_round,deaths_per_round,saved_by_mate_per_round,saved_mates_per_round,rating,rating_vs_top5,maps_vs_top5,rating_vs_top10,maps_vs_top10,rating_vs_top20,maps_vs_top20,rating_vs_top30,maps_vs_top30,rating_vs_top50,maps_vs_top50
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Cham,Charlie Ahlm,18.0,Sweden,No team,92,31.5,60,1.53,107.9,7.8,4,99,0.93,0.17,0.61,0.08,0.14,1.57,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,noway,Kaiky Santos,17.0,Brazil,No team,32,59.4,18,1.78,105.3,3.7,1,29,1.1,0.14,0.62,0.07,0.1,1.57,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,BloodyK,Nikita Dobrynin,21.0,Russia,No team,68,66.2,37,1.84,106.2,7.9,3,68,1.0,0.13,0.54,0.12,0.1,1.57,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,1mpala,Stefan Ailazian,24.0,Ukraine,SG.pro,85,44.7,60,1.42,115.0,2.7,3,80,1.06,0.16,0.75,0.05,0.1,1.54,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,Gladik,Valera Gorevoy,23.0,Russia,No team,28,32.1,18,1.56,102.8,10.5,1,28,1.0,0.18,0.64,0.21,0.11,1.51,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,DoDzelele ,Kirill Borzunov,23.0,Russia,Quest,48,33.3,28,1.71,90.4,0.4,2,53,0.91,0.08,0.53,0.08,0.13,1.49,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,Twiksar,Nikita Bulygin,24.0,Russia,No team,226,56.2,164,1.38,98.9,9.0,11,259,0.87,0.25,0.63,0.11,0.12,1.43,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,space,Nika Burnadze,19.0,Georgia,No team,64,34.4,49,1.31,90.5,7.9,3,77,0.83,0.14,0.64,0.09,0.06,1.42,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,Skog,William Skog,20.0,Sweden,No team,86,30.2,52,1.65,88.9,6.4,4,99,0.87,0.21,0.53,0.09,0.11,1.4,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,frostezoR,Cássio Bergamo,23.0,Brazil,No team,43,46.5,27,1.59,89.8,3.2,2,54,0.8,0.19,0.5,0.17,0.07,1.39,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,Olga,Olga Rodrigues,28.0,Brazil,FURIA fe,940,44.0,703,1.34,99.7,8.2,45,1090,0.86,0.21,0.64,0.11,0.1,1.39,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,icyvl0ne,Daniel Lee,19.0,Uzbekistan,No team,53,56.6,37,1.43,88.9,4.0,2,61,0.87,0.13,0.61,0.1,0.13,1.39,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps)
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,Kre1N,Maxim Terekhov,21.0,Russia,No team,270,33.3,170,1.59,84.6,2.6,13,311,0.87,0.11,0.55,0.08,0.09,1.38,-,(0 maps),-,(0 maps),-,(0 maps),-,(0 maps),1.08,(2 maps)
